lon;lat;name;name_AD
14.4181897695669;50.089807306301;Josefov;Praha 1
14.4215993182746;50.0866376695007;Staré Mìsto;Praha 1
14.4041114587421;50.086317724102;Malá Strana;Praha 1
14.3924683490883;50.0889932859446;Hradèany;Praha 1
14.4252560436339;50.0793339419569;Nové Mìsto;Praha 1
14.4187252408499;50.0651453866783;Vyšehrad;Praha 2
14.4693567510201;50.087127355536;Žižkov;Praha 3
14.4421736319164;50.0410041695684;Krè;Praha 4
14.4632576804382;50.0497705571543;Michle;Praha 4
14.4097377046566;50.0223968266713;Hodkovièky;Praha 4
14.4176859191289;50.0375082944141;Braník;Praha 4
14.4210396977369;50.0538999769203;Podolí;Praha 4
14.4369524236092;50.0585931317122;Nusle;Praha 4
14.4828970042886;50.0125923789618;Kunratice;Praha 4
14.3870850723116;50.0576360962218;Radlice;Praha 5
14.3627283598523;50.04880012401;Jinonice;Praha 5
14.3676407998752;50.0658017361431;Košíøe;Praha 5
14.3835005143504;50.0358757182454;Hluboèepy;Praha 5
14.3385309948268;50.06912153313;Motol;Praha 5
14.4002916155729;50.072687923536;Smíchov;Praha 5
14.3440106328273;50.0277105311087;Holynì;Praha 5
14.3494203632892;50.0155657059918;Slivenec;Praha 5
14.3755175009514;50.1083942772713;Dejvice;Praha 6
14.3796530678973;50.0932148920899;Støešovice;Praha 6
14.3524834305181;50.0919134757012;Veleslavín;Praha 6
14.3471586510352;50.0976081834392;Vokovice;Praha 6
14.3697398200229;50.0834318605592;Bøevnov;Praha 6
14.3120667293741;50.0832308658881;Ruzynì;Praha 6
14.3251526283926;50.0903601320554;Liboc;Praha 6
14.3252356723009;50.111197937995;Nebušice;Praha 6
14.3700815433226;50.1236046357462;Lysolaje;Praha 6
14.3760160116155;50.1337673949529;Suchdol;Praha 6
14.3916183980886;50.1308775277046;Sedlec;Praha 6
14.3029307006442;50.1184582168955;Pøední Kopanina;Praha 6
14.4108995776462;50.1074652899955;Bubeneè;Praha 7
14.4340431096496;50.1015388396446;Holešovice;Praha 7
14.4210208877819;50.1212532346912;Troja;Praha 7
14.4829929742628;50.1655615396723;Bøezinìves;Praha 8
14.4300979155594;50.1424723262349;Èimice;Praha 8
14.4525918616145;50.1266897952239;Kobylisy;Praha 8
14.4156467442162;50.1361735344472;Bohnice;Praha 8
14.4482283233905;50.1490392890782;Dolní Chabry;Praha 8
14.4830848754961;50.1487818638732;Ïáblice;Praha 8
14.4716017055205;50.1125343109554;Libeò;Praha 8
14.4521229871174;50.0932569639559;Karlín;Praha 8
14.4824780664609;50.1247428024816;Støížkov;Praha 9
14.5085699923993;50.1095294193884;Vysoèany;Praha 9
14.4963919984675;50.118432597115;Prosek;Praha 9
14.5128615366865;50.0935376891573;Hrdloøezy;Praha 9
14.4386988138377;50.0748905574547;Vinohrady;Praha 10
14.4998240943806;50.0719953777715;Strašnice;Praha 10
14.4920951949213;50.0519359396633;Zábìhlice;Praha 10
14.4616940772388;50.0694334452387;Vršovice;Praha 10
14.5088506708616;50.0845089147392;Malešice;Praha 10
14.5630784670735;50.0213478900881;Køeslice;Praha 11
14.4995760357905;50.0323835979992;Chodov;Praha 11
14.53205896832;50.0331122473039;Háje;Praha 11
14.5129687741329;50.0134646186339;Šeberov;Praha 11
14.5389107019782;50.0183993239651;Újezd u Prùhonic;Praha 11
14.4466708193379;49.9860727578429;Cholupice;Praha 12
14.4244365936814;49.9744401024247;Toèná;Praha 12
14.4696708818324;49.9932468537582;Písnice;Praha 12
14.443524649102;50.021608532238;Lhotka;Praha 12
14.4594105312973;50.0088054222748;Libuš;Praha 12
14.4383456444983;50.0144326679513;Kamýk;Praha 12
14.4067379698763;49.9839412376272;Komoøany;Praha 12
14.4198203438962;50.0038354768575;Modøany;Praha 12
14.3121697070237;50.0305077490266;Øeporyje;Praha 13
14.3142135927956;50.0033907987531;Zadní Kopanina;Praha 13
14.3247835196722;50.0486755461226;Stodùlky;Praha 13
14.285066940276;50.0445248617542;Tøebonice;Praha 13
14.5868163135462;50.0890768718919;Dolní Poèernice;Praha 14
14.5454449731958;50.0926961120252;Kyje;Praha 14
14.5379320603868;50.1066963903076;Hloubìtín;Praha 14
14.5731442403323;50.1044227198899;Èerný Most;Praha 14
14.5632875805695;50.0902503103724;Hostavice;Praha 14
14.5925352374184;50.0644761126039;Dubeè;Praha 15
14.529933036155;50.052539030702;Hostivaø;Praha 15
14.5491922265502;50.0738765522665;Štìrboholy;Praha 15
14.5619654796101;50.058572677487;Dolní Mìcholupy;Praha 15
14.5593192048841;50.0452538618372;Horní Mìcholupy;Praha 15
14.5580630804033;50.0344887565088;Petrovice;Praha 15
14.5493770827968;50.1328658315316;Kbely;Praha 19
14.5711980228128;50.1240269162591;Satalice;Praha 19
14.5804209694421;50.1469345824246;Vinoø;Praha 19
14.6152862627866;50.1145505565475;Horní Poèernice;Praha 20
14.617213985354;50.0813578436789;Bìchovice;Praha 21
14.6644337813517;50.094124337687;Klánovice;Praha 21
14.6371287915055;50.0644689528375;Kolodìje;Praha 21
14.6621034359656;50.0756772529664;Újezd nad Lesy;Praha 21
14.6030365589659;50.0133660181498;Benice;Praha 22
14.6293981186463;50.0110438113175;Kolovraty;Praha 22
14.6178236811993;50.0009202748372;Lipany;Praha 22
14.6439093701049;50.0370822646694;Královice;Praha 22
14.6528887417118;50.0175602192491;Nedvìzí u Øíèan;Praha 22
14.6235574904713;50.0517448069223;Hájek u Uhøínìvsi;Praha 22
14.5815463884548;50.0206184360503;Pitkovice;Praha 22
14.6017089839621;50.0360511798176;Uhøínìves;Praha 22
14.3542071310567;49.9607447056673;Lipence;Praha 16
14.3546732195961;50.0016014085525;Lochkov;Praha 16
14.388898748221;50.0238778185654;Malá Chuchle;Praha 16
14.3815085671322;50.0099642058496;Velká Chuchle;Praha 16
14.3945060405952;49.9942547234956;Lahovice;Praha 16
14.3526512707569;49.9895918142676;Radotín;Praha 16
14.385370667728;49.9680992353545;Zbraslav;Praha 16
14.3075225422468;50.0701072129435;Øepy;Praha 17
14.2649354881725;50.0630803368431;Sobín;Praha 17
14.2868079666002;50.0632712340423;Zlièín;Praha 17
14.5151463873772;50.1362033892047;Letòany;Praha 18
14.5187225042977;50.1663815020719;Tøeboradice;Praha 18
14.5398620017246;50.1578203969854;Miškovice;Praha 18
14.5237403189405;50.1502909234232;Èakovice;Praha 18
